clinic_name,first_name,last_name,email,phone,address,website,source_query
"Clarendon Animal Clinic: Grace Ma-Steenbergen, D.V.M.",,,matt@pixelspread.com,+1 (802) 775-4333," 548 Rte 7b N, North Clarendon, VT 05759, United States",http://clarendonanimalclinic.com,Google_Maps_veterinarian Hartford VT
Cold Hollow Veterinary Services,,,,+1 (802) 933-2770," 642 Lake Region Rd, Orleans, VT 05860, United States",http://coldhollowvets.com,Google_Maps_veterinarian Williston VT
Community Pet Clinic,,,clinic@hsccvt.org,+1 (802) 862-0135," 57 N Champlain St, Burlington, VT 05401, United States",https://www.hsccvt.org/Clinic,Google_Maps_veterinarian Burlington VT
Country Animal Hospital,,,cah@countryah.com,+1 (802) 234-5999," 1533 VT-107, Bethel, VT 05032, United States",http://countryanimalhospital.com,Google_Maps_animal hospital Vermont
Cross Border Equine Center Inc,,,crossborderequine@gmail.com,+1 (802) 885-4883," 396 Parker Hill Rd, Springfield, VT 05156, United States",https://crossborderequine.com,Google_Maps_veterinarian Hartford VT
Derby Pond Animal Hospital,,,,," 2757 US-5, Derby, VT 05829, United States",,Google_Maps_veterinarian Derby VT
Dorset Street Animal Hospital,,,,+1 (802) 221-3090," 354 Dorset St, South Burlington, VT 05403, United States",,Google_Maps_veterinarian Burlington VT
East Haven Veterinary Service,,,ehvsoffice@gmail.com,+1 (802) 467-8700," 465 School St, East Haven, VT 05837, United States",https://easthavenveterinary.com,Google_Maps_equine veterinarian Vermont
Eastwood Animal Clinic,,,info@eastwoodanimalclinicvt.com,+1 (802) 773-7711," 298 US-4, Rutland, VT 05701, United States",https://www.eastwoodanimalclinicvt.com,Google_Maps_veterinarian Rutland VT
"Enosburg Veterinary Care, LLC",,,info@enosburgvet.com,+1 (802) 933-4533," 33 Depot St, Enosburg Falls, VT 05450, United States",https://enosburgvet.com,Google_Maps_veterinarian Swanton VT
Equine Primary Care Veterinary Services,,,,," 107 York Rd, Jericho, VT 05465, United States",,Google_Maps_equine veterinarian Vermont
Erin Longworth Performance Horses,,,zrbsquared+elph@gmail.com,+1 (802) 363-7644," 25 Bernier Rd, Milton, VT 05468, United States",http://www.erinlongworthvt.com,Google_Maps_equine veterinarian Vermont
Essex Veterinary Center,,,welcome@essexvet.com,+1 (802) 879-1399," 4 Oliver Wight Dr, Essex Junction, VT 05452, United States",https://www.essexvet.com,Google_Maps_veterinarian Essex VT
Evergreen Equine of Vermont,,,office@evergreenequinevt.com,+1 (802) 484-9100," 5000 VT-44, Brownsville, VT 05037, United States",https://evergreenequinevt.com,Google_Maps_veterinarian Hartford VT
Fieldstone Equine Clinic,,,office@fieldstoneequine.com,+1 (802) 649-1110," 425 VT-110, Tunbridge, VT 05077, United States",http://www.fieldstoneequine.com,Google_Maps_veterinarian Hartford VT
ForeFront Equine & Canine,,,info@forefrontequine.com,+1 (888) 772-9592," 167 N Shrewsbury Rd, North Clarendon, VT 05759, United States",https://www.forefrontequine.com,Google_Maps_equine veterinarian Vermont
Gerda's Equine Rescue,,,gerdasequinerescue@gmail.com,+1 (802) 874-7213," 5825 VT-30, Townshend, VT 05353, United States",https://gerdasequinerescue.org,Google_Maps_equine veterinarian Vermont
Goose City Veterinary Clinic,,,,+1 (802) 348-7918," 16 Jenne Rd, East Dover, VT 05341, United States",,Google_Maps_veterinarian Wilmington VT
Green Mountain Animal Hospital,,,reception@greenmountainah.com,+1 (802) 862-7021," 1693 Williston Rd, South Burlington, VT 05403, United States",https://greenmountainah.com,Google_Maps_veterinarian Burlington VT
Green Mountain Veterinary Hospital,,,,," 29 Hearthstone Ln, Londonderry, VT 05148, United States",,Google_Maps_veterinarian Hartford VT
Green Mt Veterinary Hospital,,,greenmountain@greenmountainvet.com,+1 (802) 362-2620," 48 Treat Hill Rd, Manchester Center, VT 05255, United States",http://greenmountainvet.com,Google_Maps_veterinarian Bennington VT
Gulliver's Doggie Daycare,,,desk@doggiedaycare.com,+1 (802) 860-1144," 59 Industrial Ave, Williston, VT 05495, United States",http://www.doggiedaycare.com,Google_Maps_veterinarian Williston VT
Hardwick Veterinary Clinic,,,info@hardwickvet.com,+1 (802) 472-8400," 64 N Main St, Hardwick, VT 05843, United States",http://www.hardwickvet.com,Google_Maps_veterinarian Williston VT
Hawk’s Ridge Veterinary Services,,,juliecornelldvm@gmail.com,+1 (802) 379-4833," 2367 S Stream Rd, Bennington, VT 05201, United States",https://www.facebook.com/Hawks-Ridge-Veterinary-Services-474120825939647,Google_Maps_veterinarian Bennington VT
Healing Paws House Calls Llc,,,,," 630 Beaver Meadow Rd, Marshfield, VT 05658, United States",,Google_Maps_veterinarian Williston VT
Heart of Vermont Vet: At-Home End-of-Life Care for Pets,,,heartofvt@dvmcenter.com,+1 (802) 323-5200," 652 Granger Rd Suite 4, Barre, VT 05641, United States",http://www.heartofvermontvet.com,Google_Maps_veterinarian Barre VT
Home Veterinary Services,,,,+1 (802) 899-3375," 71 Milo White Rd, Jericho, VT 05465, United States",https://allvetnearme.com/home-veterinary-services-richmond,Google_Maps_veterinarian Williston VT
"Horse-Logic Animals, just like us, want to be seen and heard. And, when we listen magic happens!",,,,+1 (508) 846-5001," 5134 VT RT 9 x-175, Marlboro, VT 05344, United States",https://mindful-connections.com/horses,Google_Maps_equine veterinarian Vermont
Humane Society Of Chittenden County,,,bestfriends@hsccvt.org,+1 (802) 862-0135," 142 Kindness Ct, South Burlington, VT 05403, United States",https://www.hsccvt.org,Google_Maps_veterinarian Williston VT
Josh Lincoln,,,,+1 (802) 879-7984," 7 River Cove Rd, Williston, VT 05495, United States",,Google_Maps_veterinarian Williston VT
Kedron Valley Veterinary Clinic,,,info@kedronvet.com,+1 (802) 457-3135," 1205 W Woodstock Rd, Woodstock, VT 05091, United States",http://www.kedronvet.com,Google_Maps_veterinarian Hartford VT
Kingdom Animal Hospital,,,hello@vermontvets.com,+1 (802) 424-1234," 131 Railroad St, St Johnsbury, VT 05819, United States",http://vermontvets.com,Google_Maps_veterinarian St. Johnsbury VT
Lamoille Valley Veterinary Services,,,info@lvvsonline.com,+1 (802) 888-7911," 278 VT-15 E, Hyde Park, VT 05655, United States",http://www.lvvsonline.com,Google_Maps_veterinarian Williston VT
Large Animal Medical Associates,,,contact@lamavt.com,+1 (802) 879-4288," 129 Main St, Essex Junction, VT 05452, United States",https://lamavt.com,Google_Maps_veterinarian Essex VT
Lazy Acres Equines,,,info@lazyacresequines.com,+1 (802) 236-5745," 867 Pearl St, Brandon, VT 05733, United States",https://www.lazyacresequines.com,Google_Maps_equine veterinarian Vermont
Livery Horse Farm,,,user@domain.com,+1 (802) 373-1966," 601 Lavigne Hill Rd, Hinesburg, VT 05461, United States",http://www.liveryhorsefarm.com,Google_Maps_equine veterinarian Vermont
Long Trail Veterinary Center,,,longtrailvc@yourvetdoc.com,+1 (802) 876-7333," 7808 Williston Rd, Williston, VT 05495, United States",http://longtrailveterinarycenter.com,Google_Maps_veterinarian Williston VT
Lucy Mackenzie Humane Society,,,,+1 (802) 484-5829," 4832 VT-44, West Windsor, VT 05089, United States",http://www.lucymac.org,Google_Maps_veterinarian Hartford VT
MacPhail Equine Dentistry,,,,+1 (802) 291-0354," 284 Picknell Rd, Thetford Center, VT 05075, United States",http://www.macphailequinedentistry.com,Google_Maps_veterinarian Hartford VT
Mad River Veterinary Service,,,madvetinfo@madriver.com,+1 (802) 496-7272," 637 Mill Brook Rd Bldg A, Waitsfield, VT 05673, United States",http://madriverveterinaryservice.com,Google_Maps_veterinarian Williston VT
Makahimo Kaha,,,,," 133 E Mountain Rd, Killington, VT 05751, United States",,Google_Maps_veterinarian Hartford VT
Malletts Bay Veterinary Hospital,,,mallettsbayvet@gmail.com,+1 (802) 862-2472," 460 Blakely Rd, Colchester, VT 05446, United States",http://www.mallettsbayvet.com,Google_Maps_veterinarian Burlington VT
Meadowbrook Equine,,,meadowbrookequine@gmail.com,+1 (802) 989-5846," 47 Court St NO MAIL, Middlebury, VT 05753, United States",http://www.meadowbrookequinevt.com,Google_Maps_equine veterinarian Vermont
Middlebury Animal Hospital,,,middleburyah@gmail.com,+1 (802) 388-2691," 139 Washington St Ext, Middlebury, VT 05753, United States",https://middleburyah.net,Google_Maps_veterinarian Hartford VT
Milton Veterinary Hospital,,,miltonvh@yourvetdoc.com,+1 (802) 893-4000," 2 Chrisemily Ln, Milton, VT 05468, United States",http://miltonvethospital.com,Google_Maps_veterinarian Milton VT
Montpelier Veterinary Hospital,,,info@montpeliervet.com,+1 (802) 223-3220," 403 Barre St, Montpelier, VT 05602, United States",http://montpelierveterinaryhospital.com,Google_Maps_veterinarian Williston VT
Mount Anthony Veterinary Hospital,,,mtanthonyvh@yourvetdoc.com,+1 (802) 442-4324," 832 West Rd, Bennington, VT 05201, United States",http://mtanthonyvet.com,Google_Maps_veterinarian Bennington VT
Mount Ascutney Veterinary Services,,,mtascutneyvs@gmail.com,+1 (802) 674-2070," 29 Harvest Park Rd, Ascutney, VT 05030, United States",https://mtascutneyvs.com,Google_Maps_veterinarian Hartford VT
Mountain View Animal Hospital,,,contact@vtvet.com,+1 (802) 879-6311," 129 Main St, Essex Junction, VT 05452, United States",https://vtvet.com,Google_Maps_veterinarian Essex VT
Mountainside Mobile Veterinary Service,,,,+1 (802) 760-9959," 560 Irish Settlement Rd, Underhill, VT 05489, United States",,Google_Maps_veterinarian Cambridge VT
Mt. Mansfield Animal Hospital,,,info@mountmansfieldah.com,+1 (802) 899-4013," 19 W Main Cir, Jericho, VT 05465, United States",https://mountmansfieldah.com,Google_Maps_veterinarian Williston VT
NEK Community Animal Hospital,,,info@nekcahvt.com,+1 (802) 427-3307," 710 Lynburke Rd, Lyndonville, VT 05851, United States",http://www.nekcahvt.com,Google_Maps_veterinarian Lyndon VT
NMK Buns and Bowls,,,,+1 (413) 824-1303," 661 Vermont Rte 100, Wilmington, VT 05363, United States",http://www.nomadchefsvt.com,Google_Maps_veterinarian Wilmington VT
"Nelson Veterinary Associates, Inc",,,user@domain.com,+1 (802) 334-3345," 378 Prouty Dr, Newport, VT 05855, United States",http://www.nelsonveterinary.com,Google_Maps_veterinarian Newport VT
Newbury Veterinary Clinic,,,newburyvetclinic@gmail.com,+1 (802) 866-5354," 3890 US-5, Newbury, VT 05051, United States",http://www.newburyvetclinic.com,Google_Maps_veterinarian Cambridge VT
Newport Veterinary Hospital,,,newportveterinaryhospital@gmail.com,+1 (802) 334-2655," 218 VT-105, Newport, VT 05855, United States",https://www.newportvethospital.com,Google_Maps_veterinarian Morrisville VT
North Country Veterinary Clinic,,,,+1 (802) 626-9382," 564 Main St, Lyndonville, VT 05851, United States",,Google_Maps_veterinarian Lyndon VT
Northwest Veterinary Associates Inc,,,,+1 (802) 524-3222," 6 Fairfield Hill Rd, St Albans City, VT 05478, United States",http://www.nwvetvt.com,Google_Maps_veterinarian Williston VT
Norwich Regional Animal Hospital,,,nrah@yourvetdoc.com,+1 (802) 296-2273," 13 Fogg Farm Rd, White River Junction, VT 05001, United States",http://norwichanimal.com,Google_Maps_veterinarian Hartford VT
Old North End Vet Clinic,,,crystal.b@oldnorthendvet.com,+1 (802) 658-2202," 57 N Champlain St, Burlington, VT 05401, United States",http://www.oldnorthendvet.com,Google_Maps_veterinarian Burlington VT
Onion River Animal Hospital,,,hello@orahvt.com,+1 (802) 223-7765," 2386 Airport Rd, Barre, VT 05641, United States",https://onionriveranimalhospital.com,Google_Maps_veterinarian Barre VT
Orchard Veterinary Hospital,,,orchardvh@yourvetdoc.com,+1 (802) 658-2273," 1333 Shelburne Rd, South Burlington, VT 05403, United States",http://orchardvetvt.com,Google_Maps_veterinarian Burlington VT
Otterside Animal Hospital,,,info@ottersideanimalhospital.com,+1 (802) 247-3335," 28 Conant Square, Brandon, VT 05733, United States",https://ottersideanimalhospital.com,Google_Maps_veterinarian Hartford VT
Oxbow Veterinary Clinic,,,,+1 (802) 222-4635," 272 Depot St, Bradford, VT 05033, United States",https://oxbowvetclinic.com,Google_Maps_veterinarian Bradford VT
Peak Veterinary Referral Center,,,,+1 (802) 878-2022," 158 Hurricane Ln, Williston, VT 05495, United States",https://www.peakveterinary.com,Google_Maps_veterinarian Burlington VT
Poultney Veterinary Hospital,,,email.poultneyvets@gmail.com,+1 (802) 287-9292," 330 E Main St, Poultney, VT 05764, United States",http://www.poultneyvets.com,Google_Maps_veterinarian Hartford VT
Pullman Farm,,,,+1 (802) 379-9070," 969 Trumbull Hill Rd, Shaftsbury, VT 05262, United States",,Google_Maps_livestock vet Vermont
Qi Veterinary Clinic,,,info@qivet.com,+1 (802) 951-8800," 140 Webster Rd, Shelburne, VT 05482, United States",http://www.qiveterinaryclinic.com,Google_Maps_veterinarian Burlington VT
Queen City Veterinary Internal Medicine,,,info@qcvim.com,+1 (802) 341-8477," 21 Gregory Dr #150, South Burlington, VT 05403, United States",https://queencityveterinaryinternalmedicine.com,Google_Maps_veterinarian Burlington VT
Randolph Animal Hospital,,,,+1 (802) 728-3266," 1145 VT-66, Randolph, VT 05060, United States",http://randolphanimalhospital.net,Google_Maps_veterinarian Randolph VT
Randolph Regional Veterinary Hospital,,,,+1 (802) 728-3505," 86 Dylan Dr, Randolph, VT 05060, United States",,Google_Maps_veterinarian Randolph VT
Richmond Animal Hospital,,,info@richmondanimalhospitalvt.com,+1 (802) 434-4935," 233 E Main St, Richmond, VT 05477, United States",https://www.richmondanimalhospitalvt.com,Google_Maps_veterinarian Williston VT
River Cove Animal Hospital,,,rivercove@rivercove.net,+1 (802) 879-7984," 7 River Cove Rd, Williston, VT 05495, United States",https://rivercove.net,Google_Maps_veterinarian Burlington VT
River Road Veterinary Clinic,,,rrvcvt@gmail.com,+1 (802) 649-3877," 445 Rte 5 N, Norwich, VT 05055, United States",http://riverroadveterinary.com,Google_Maps_veterinarian Hartford VT
Riverside Veterinary Care and Dental Services,,,riversidevetcare@gmail.com,+1 (802) 773-4771," 159 River St, Rutland, VT 05701, United States",http://www.riversidevetcare.com,Google_Maps_veterinarian Rutland VT
Riverside's Ludlow Veterinary Clinic,,,riversidevetcare@gmail.com,+1 (802) 228-5700," 72 Pond St, Ludlow, VT 05149, United States",http://riversidevetcare.com,Google_Maps_veterinarian Hartford VT
Rockingham veterinary,,,,+1 (802) 875-3985," Lower Bartonsville Rd, Bellows Falls, VT 05101, United States",https://rockinghamvet.com,Google_Maps_veterinarian Rockingham VT
Rutland Veterinary Clinic & Surgical Center,,,info@rutlandvet.com,+1 (802) 773-2779," 90 E Pittsford Rd, Rutland, VT 05701, United States",https://rutlandvet.com,Google_Maps_veterinarian Rutland VT
Ryegate Small Animal Hospital,,,clients@ryegatevet.com,+1 (802) 633-3660," 54 Moore Ln, Ryegate, VT 05042, United States",https://ryegatevet.com,Google_Maps_equine veterinarian Vermont
Sanasi Nabimo,,,,," 18 Windywood Rd, Barre, VT 05641, United States",,Google_Maps_veterinarian Barre VT
Sequist Animal Hospital,,,hello@sequistvet.com,+1 (802) 888-7776," 147 Stancliff Rd, Morristown, VT 05661, United States",http://sequistvet.com,Google_Maps_veterinarian Morrisville VT
Sequist Large Animal Vet Services,,,,+1 (802) 888-2466," 147 Stancliff Rd, Morristown, VT 05661, United States",https://allvetnearme.com/sequist-large-animal-vet-services,Google_Maps_veterinarian Williston VT
Shaw's,,,,+1 (802) 464-2161," 97 E Main St, Wilmington, VT 05363, United States",https://local.shaws.com/vt/wilmington/97-e-main-st.html,Google_Maps_veterinarian Wilmington VT
Shelburne Veterinary Hospital,,,,+1 (802) 985-2525," 3053 Shelburne Rd, Shelburne, VT 05482, United States",https://shelburneveterinaryhospital.com,Google_Maps_veterinarian Burlington VT
Southern VT Equine Veterinary,,,,+1 (802) 442-9099," 1265 US-7, Bennington, VT 05201, United States",https://allvetnearme.com/southern-vt-equine-veterinary,Google_Maps_veterinarian Bennington VT
Springfield Animal Hospital,,,springfieldah-vt@yourvetdoc.com,+1 (802) 885-2505," 346 River St, Springfield, VT 05156, United States",http://springfieldanimalhospitalvt.com,Google_Maps_veterinarian Hartford VT
St Johnsbury Animal Hospital,,,,+1 (802) 748-5634," 229 Portland St, St Johnsbury, VT 05819, United States",,Google_Maps_veterinarian St. Johnsbury VT
Stonecliff Veterinary Clinic,,,,+1 (802) 613-3958," 46 State St, Montpelier, VT 05602, United States",,Google_Maps_veterinarian Williston VT
Stowe Veterinary Clinic,,,micah@micahrich.com,+1 (802) 253-6800," 1606 Pucker St, Stowe, VT 05672, United States",http://stowevet.com,Google_Maps_veterinarian Williston VT
Sugar Maple Veterinary Center,,,hello@sugarmaplevet.com,+1 (802) 404-8210," 66 Knight Ln Suite 10, Williston, VT 05495, United States",https://www.sugarmaplevet.com,Google_Maps_veterinarian South Burlington VT
Sugar Run Equine Veterinary Services PLC,,,user@domain.com,+1 (802) 888-2466," 171 Stancliff Rd, Morristown, VT 05661, United States",https://srevs.com/contact,Google_Maps_veterinarian Morrisville VT
Sunset Lake CBD,,,,+1 (802) 662-5518," 6 South St, South Hero, VT 05486, United States",https://marketing3x3company.one/auth/0200/a.html,Google_Maps_veterinarian South Hero VT
Tanneberger Veterinary Hospital,,,tannebergervh@yourvetdoc.com,+1 (802) 524-2001," 997 Fairfax Rd, St Albans City, VT 05478, United States",http://tannebergervet.com,Google_Maps_veterinarian Williston VT
The Animal Doctor,,,,+1 (802) 334-1503," 56 Eastern Ave, Newport Center, VT 05857, United States",https://allvetnearme.com/animal-doctor-newport,Google_Maps_veterinarian Newport VT
The Boarding Spot,,,theboardingspot@gmail.com,+1 (802) 446-2525," 140 White Rocks Picnic Rd, Wallingford, VT 05773, United States",https://tarabulltay.wixsite.com/theboardingspot,Google_Maps_veterinarian Hartford VT
"The Holistic Vet of Vermont, LLC",,,user@domain.com,+1 (802) 560-5131," 1070 W Main St Suite #2, Richmond, VT 05477, United States",https://www.holisticvetvt.com,Google_Maps_veterinarian Williston VT
"The Integrated Equine, LLC",,,drjen@theintegratedequine.com,+1 (802) 375-4335," 7149 VT-106, Reading, VT 05062, United States",http://theintegratedequine.com,Google_Maps_equine veterinarian Vermont
USDA Veterinary Services,,,,+1 (802) 868-2556," Highgate Rd, Swanton, VT 05488, United States",,Google_Maps_veterinarian Swanton VT
"USDA, APHIS, Veterinary Services",,,,+1 (802) 868-2556," 480 Welcome Center Rd, Swanton, VT 05488, United States",,Google_Maps_veterinarian Swanton VT
Under the Weather Pet,,,abbey@undertheweatherpet.com,+1 (844) 633-1217," 1360 Marshall Ave, Williston, VT 05495, United States",http://undertheweatherpet.com,Google_Maps_veterinarian Williston VT
VCA Brown Animal Hospital,,,,+1 (802) 862-6471," 8 Calkins Ct, South Burlington, VT 05403, United States",https://vcahospitals.com/brown,Google_Maps_veterinarian Burlington VT
VCA Fitzgerald Animal Hospital,,,,+1 (802) 654-6800," 220 S Park Dr, Colchester, VT 05446, United States",https://vcahospitals.com/fitzgerald,Google_Maps_veterinarian Burlington VT
VCA Windham Animal Hospital,,,,+1 (802) 254-9412," 19 Noahs Ln, Brattleboro, VT 05301, United States",https://vcahospitals.com/windham,Google_Maps_veterinarian Brattleboro VT
VEG ER for Pets,,,example@mysite.com,+1 (802) 255-4032," 225 Dorset St suite a, South Burlington, VT 05403, United States",https://www.veg.com/locations/vermont/burlington,Google_Maps_veterinarian Burlington VT
VT NH Veterinary Clinic,,,vtnhvet@vtnhvet.com,+1 (802) 254-5422," 38 East-West Rd, East Dummerston, VT 05346, United States",http://vtnhvet.com,Google_Maps_veterinarian Wilmington VT
Valley Animal Hospital,,,,+1 (802) 496-3006," 6969 Main St, Waitsfield, VT 05673, United States",https://myweb16.site/explore/valley-animal-hospital-waitsfield,Google_Maps_veterinarian Williston VT
Valleywide Veterinary Services,,,valleywidevets@gmail.com,+1 (802) 758-6888," 2562 Vermont, VT-22A, Bridport, VT 05734, United States",http://www.valleywidevets.com,Google_Maps_veterinarian Hartford VT
Veremedy Pet Hospital,,,veremedyph@yourvetdoc.com,+1 (802) 457-2229," 442 Woodstock Rd, Woodstock, VT 05091, United States",https://veremedy.com,Google_Maps_veterinarian Hartford VT
Vermont Animal Hospital,,,ahjcorporation@gmail.com,+1 (213) 263-9500," 1502 S Vermont Ave, Los Angeles, CA 90006, United States",https://www.vermontanimalhospital.com,Google_Maps_animal hospital Vermont
Vermont Large Animal Clinic,,,office@vlac.net,+1 (802) 893-6800," 1054 Lake Rd, Milton, VT 05468, United States",http://www.vlac.net,Google_Maps_veterinarian Milton VT
Vermont Veterinary Eye Care,,,info@bevsvt.com,+1 (802) 404-3937," 1417 Marshall Ave, Williston, VT 05495, United States",https://bevsvt.com/pet-ophthalmology-williston-vt,Google_Maps_veterinarian Williston VT
Vermont Veterinary Medical Association,,,katherineg@vtvets.org,+1 (802) 878-6888," 76 Beech St, Essex Junction, VT 05452, United States",https://www.vtvets.org,Google_Maps_equine veterinarian Vermont
Veterinarian Fairlee,,,,+1 (802) 200-0108," 702 Middlebrook Rd, Fairlee, VT 05045, United States",,Google_Maps_veterinarian Hartford VT
Veterinarian White River Junction,,,,+1 (802) 200-0032," 85 N Main St, White River Junction, VT 05001, United States",,Google_Maps_veterinarian White River Junction VT
Veterinary Surgery of Vermont,,,user@domain.com,+1 (802) 990-3200," 21 Gregory Dr #150, South Burlington, VT 05403, United States",https://www.vetsurgeryvt.com,Google_Maps_veterinarian Burlington VT
VetriScience Laboratories,,,info@vetriscience.com,+1 (802) 878-5508," 929 Harvest Ln, Williston, VT 05495, United States",https://www.vetriscience.com,Google_Maps_veterinarian Williston VT
Waterbury Veterinary Hospital,,,info@waterburyvethospital.com,+1 (802) 244-5452," 2597 Waterbury-Stowe Rd, Waterbury Center, VT 05677, United States",https://www.waterburyvethospital.com,Google_Maps_veterinarian Williston VT
West River Valley Veterinary Service,,,,+1 (802) 365-9362," 720 VT-30, Newfane, VT 05345, United States",http://www.westrivervalleyvet.com,Google_Maps_veterinarian Hartford VT
Westminster Animal Hospital,,,,+1 (802) 722-4196," 5052 US-5, Westminster, VT 05158, United States",https://www.facebook.com/WestminsterAnimalHospital,Google_Maps_animal hospital Vermont
Woodstock Animal Hospital,,,,+1 (802) 457-4545," 560 W Woodstock Rd, Woodstock, VT 05091, United States",http://www.woodstockanimalhospitalvt.com,Google_Maps_veterinarian Woodstock VT
Windsor Pet Dental PLC,James,(Mike) McIntire,,+1 (802) 777-1575,"2326 US Route 5 N, Windsor, Vermont, 05089",http://www.vetsinwindsor.com,VVMA_directory
Rebecca Allen DVM,Rebecca,Allen,,+1 (802) 922-7754,"2204 Jersey St., Vergennes, Vermont, 05491",,VVMA_directory
Vergennes Animal Hospital: Wurm Anja DVM,Vergennes,Animal Hospital: Wurm Anja,info@vergennesah.com,+1 (802) 877-3371," 20 Main St, Vergennes, VT 05491, United States",https://vergennesah.com,Google_Maps_veterinarian Williston VT
Rich Armstrong,Richard,Armstrong,,+1 (802) 999-4379,"324 Black Dog Lane, Hinesburg, Vermont, 05461",,VVMA_directory
Kristian Ash,Kristian,Ash,,+1 (802) 878-2022,"158 Hurricane Lane, Williston, Vermont, 05495",http://www.peakveterinaryreferral.com,VVMA_directory
Laura Audette,Laura,Audette,,+1 (802) 505-7604,"549 Route 2, Danville, Vermont, 05828",,VVMA_directory
Susan Averill,Susan,Averill,,+1 (802) 862-6471,"8 Calkins Court, South Burlington, Vermont, 05403",,VVMA_directory
"William A. Barry, DVM",William,Barry,,+1 (802) 276-3111,"474 Dr. Barry Road, Brookfield, Vermont, 05036",,VVMA_directory
